Protocol	X-coordinate	Y-coordinate
IPv6	1.311270	0.131405
IPv6	3.436477	0.066755
IPv6	5.561685	0.023035
IPv6	7.686892	0.009964
IPv6	9.812100	0.005790
IPv6	11.937307	0.003542
IPv6	14.062514	0.002303
IPv6	16.187722	0.001665
IPv6	18.312929	0.001399
IPv6	20.438136	0.001209
IPv6	22.563344	0.001013
IPv6	24.688551	0.000925
IPv6	26.813759	0.000904
IPv6	28.938966	0.000874
IPv6	31.064173	0.000855
IPv6	33.189381	0.000845
IPv6	35.314588	0.000834
IPv6	37.439795	0.000886
IPv6	39.565003	0.001095
IPv6	41.690210	0.001230
IPv6	43.815418	0.000973
IPv6	45.940625	0.000537
IPv6	48.065832	0.000284
IPv6	50.191040	0.000211
IPv6	52.316247	0.000186
IPv6	54.441454	0.000156
IPv6	56.566662	0.000113
IPv6	58.691869	0.000074
IPv6	60.817077	0.000053
IPv6	62.942284	0.000036
IPv6	65.067491	0.000025
IPv6	67.192699	0.000025
IPv6	69.317906	0.000023
IPv6	71.443114	0.000019
IPv6	73.568321	0.000016
IPv6	75.693528	0.000016
IPv6	77.818736	0.000039
IPv6	79.943943	0.000077
IPv6	82.069150	0.000093
IPv6	84.194358	0.000082
IPv6	86.319565	0.000067
IPv6	88.444773	0.000056
IPv6	90.569980	0.000040
IPv6	92.695187	0.000026
IPv6	94.820395	0.000021
IPv6	96.945602	0.000019
IPv6	99.070809	0.000018
IPv6	101.196017	0.000013
IPv6	103.321224	0.000013
IPv6	105.446432	0.000023
IPv6	107.571639	0.000034
IPv6	109.696846	0.000032
IPv6	111.822054	0.000018
IPv6	113.947261	0.000007
IPv6	116.072468	0.000006
IPv6	118.197676	0.000011
IPv6	120.322883	0.000017
IPv6	122.448091	0.000022
IPv6	124.573298	0.000021
IPv6	126.698505	0.000015
IPv6	128.823713	0.000010
IPv6	130.948920	0.000008
IPv6	133.074128	0.000010
IPv6	135.199335	0.000011
IPv6	137.324542	0.000009
IPv6	139.449750	0.000006
IPv6	141.574957	0.000005
IPv6	143.700164	0.000009
IPv6	145.825372	0.000014
IPv6	147.950579	0.000018
IPv6	150.075787	0.000019
IPv6	152.200994	0.000013
IPv6	154.326201	0.000007
IPv6	156.451409	0.000006
IPv6	158.576616	0.000011
IPv6	160.701823	0.000013
IPv6	162.827031	0.000009
IPv6	164.952238	0.000003
IPv6	167.077446	0.000001
IPv6	169.202653	0.000003
IPv6	171.327860	0.000009
IPv6	173.453068	0.000018
IPv6	175.578275	0.000020
IPv6	177.703482	0.000015
IPv6	179.828690	0.000010
IPv6	181.953897	0.000006
IPv6	184.079105	0.000006
IPv6	186.204312	0.000009
IPv6	188.329519	0.000012
IPv6	190.454727	0.000015
IPv6	192.579934	0.000013
IPv6	194.705142	0.000006
IPv6	196.830349	0.000004
IPv6	198.955556	0.000008
IPv6	201.080764	0.000015
IPv6	203.205971	0.000019
IPv6	205.331178	0.000017
IPv6	207.456386	0.000014
IPv6	209.581593	0.000012
IPv6	211.706801	0.000009
IPv6	213.832008	0.000004
IPv6	215.957215	0.000001
IPv6	218.082423	0.000000
IPv6	220.207630	0.000000
IPv6	222.332837	0.000001
IPv6	224.458045	0.000003
IPv6	226.583252	0.000007
IPv6	228.708460	0.000009
IPv6	230.833667	0.000009
IPv6	232.958874	0.000009
IPv6	235.084082	0.000009
IPv6	237.209289	0.000008
IPv6	239.334496	0.000005
IPv6	241.459704	0.000001
IPv6	243.584911	0.000000
IPv6	245.710119	0.000000
IPv6	247.835326	0.000002
IPv6	249.960533	0.000007
IPv6	252.085741	0.000013
IPv6	254.210948	0.000013
IPv6	256.336156	0.000006
IPv6	258.461363	0.000002
IPv6	260.586570	0.000001
IPv6	262.711778	0.000005
IPv6	264.836985	0.000011
IPv6	266.962192	0.000013
IPv6	269.087400	0.000008
IPv6	271.212607	0.000006
IPv6	273.337815	0.000011
IPv6	275.463022	0.000015
IPv6	277.588229	0.000012
IPv6	279.713437	0.000009
IPv6	281.838644	0.000008
IPv6	283.963851	0.000010
IPv6	286.089059	0.000018
IPv6	288.214266	0.000021
IPv6	290.339474	0.000012
IPv6	292.464681	0.000003
IPv6	294.589888	0.000002
IPv6	296.715096	0.000009
IPv6	298.840303	0.000021
IPv6	300.965510	0.000024
IPv6	303.090718	0.000017
IPv6	305.215925	0.000012
IPv6	307.341133	0.000010
IPv6	309.466340	0.000008
IPv6	311.591547	0.000007
IPv6	313.716755	0.000009
IPv6	315.841962	0.000009
IPv6	317.967170	0.000010
IPv6	320.092377	0.000012
IPv6	322.217584	0.000011
IPv6	324.342792	0.000010
IPv6	326.467999	0.000009
IPv6	328.593206	0.000005
IPv6	330.718414	0.000002
IPv6	332.843621	0.000000
IPv6	334.968829	0.000000
IPv6	337.094036	0.000000
IPv6	339.219243	0.000000
IPv6	341.344451	0.000001
IPv6	343.469658	0.000003
IPv6	345.594865	0.000008
IPv6	347.720073	0.000014
IPv6	349.845280	0.000026
IPv6	351.970488	0.000039
IPv6	354.095695	0.000040
IPv6	356.220902	0.000024
IPv6	358.346110	0.000008
IPv6	360.471317	0.000001
IPv6	362.596524	0.000000
IPv6	364.721732	0.000003
IPv6	366.846939	0.000009
IPv6	368.972147	0.000018
IPv6	371.097354	0.000024
IPv6	373.222561	0.000025
IPv6	375.347769	0.000021
IPv6	377.472976	0.000014
IPv6	379.598184	0.000012
IPv6	381.723391	0.000017
IPv6	383.848598	0.000031
IPv6	385.973806	0.000047
IPv6	388.099013	0.000052
IPv6	390.224220	0.000038
IPv6	392.349428	0.000017
IPv6	394.474635	0.000007
IPv6	396.599843	0.000007
IPv6	398.725050	0.000006
IPv6	400.850257	0.000003
IPv6	402.975465	0.000001
IPv6	405.100672	0.000003
IPv6	407.225879	0.000006
IPv6	409.351087	0.000007
IPv6	411.476294	0.000003
IPv6	413.601502	0.000001
IPv6	415.726709	0.000000

NTP	0.054829	0.020410
NTP	0.614046	0.021056
NTP	1.173263	0.021659
NTP	1.732479	0.022216
NTP	2.291696	0.022722
NTP	2.850913	0.023175
NTP	3.410129	0.023571
NTP	3.969346	0.023910
NTP	4.528563	0.024189
NTP	5.087780	0.024407
NTP	5.646996	0.024564
NTP	6.206213	0.024660
NTP	6.765430	0.024696
NTP	7.324646	0.024672
